company,ticker,url,doi_url,fulltext_url,doi,biorxiv_posted_date,published_date,published_journal,published_doi,category,matched_term,matched_text_verbatim,match_kind,match_detail,term_confidence,hit_section,snippet,sections_hit,matched_terms_all,fulltext_source,fulltext_ok,match_scope,title
Bruker,BRKR,https://www.biorxiv.org/content/10.1101/2022.12.29.521273,https://doi.org/10.1101/2022.12.29.521273,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.521273.source.xml,10.1101/2022.12.29.521273,2023-01-02,,,,biochemistry,maXis,maXis,product,analytical_instruments,0.88,methods,…NanoAcquity ultra-high pressure LC system (Waters) coupled to a high-resolution maXis II quadrupole time-of-flight mass spectrometer (Bruker Daltonics). A microflow-…,figure_captions; methods,Bruker; Bruker Daltonics; maXis,jats,true,core,High Sensitivity Top-down Proteomics Captures Single Muscle Cell Heterogeneity in Large Proteoforms
Thermo Fisher Scientific,TMO,https://www.biorxiv.org/content/10.1101/2022.12.29.521273,https://doi.org/10.1101/2022.12.29.521273,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.521273.source.xml,10.1101/2022.12.29.521273,2023-01-02,,,,biochemistry,Fisher Scientific,Fisher Scientific,company,brand,0.9,methods,…. unless otherwise noted. HPLC-grade water and acetonitrile were purchased from Fisher Scientific. Hexafluro-2-propanol (HFIP) was purchased from Alfa Aesar. Protease inhibitor…,methods,Fisher Scientific; Thermo Fisher; Thermo Fisher Scientific; Thermo Scientific,jats,true,core,High Sensitivity Top-down Proteomics Captures Single Muscle Cell Heterogeneity in Large Proteoforms
Agilent Technologies,A,https://www.biorxiv.org/content/10.1101/2022.12.29.522275,https://doi.org/10.1101/2022.12.29.522275,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.522275.source.xml,10.1101/2022.12.29.522275,2023-01-02,,,,microbiology,AriaMx,AriaMx,product,life_sciences,0.88,methods,"…sing the Power SYBR Green RNA-to-CT 1-Step Kit (ThermoFisher Scientific) on the AriaMx Real-Time PCR system (Agilent, Santa Clara, CA, USA)). Relative quantitation of…",methods,Agilent; AriaMx,jats,true,core,An engineered ACE2 decoy broadly neutralizes Omicron subvariants and shows therapeutic effect in SARS-CoV-2-infected cynomolgus macaques
Danaher,DHR,https://www.biorxiv.org/content/10.1101/2022.12.29.522275,https://doi.org/10.1101/2022.12.29.522275,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.522275.source.xml,10.1101/2022.12.29.522275,2023-01-02,,,,microbiology,Sepharose,Sepharose,product,bioprocessing,0.9,methods,…ol. Fc-fused proteins were purified from the conditioned media using rProtein A Sepharose Fast Flow (Cytiva). Fractions containing target proteins were pooled and dialyz…,methods,AKTA; Amersham; Cytiva; Sepharose; Superdex,jats,true,core,An engineered ACE2 decoy broadly neutralizes Omicron subvariants and shows therapeutic effect in SARS-CoV-2-infected cynomolgus macaques
QIAGEN,QGEN,https://www.biorxiv.org/content/10.1101/2022.12.29.522275,https://doi.org/10.1101/2022.12.29.522275,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.522275.source.xml,10.1101/2022.12.29.522275,2023-01-02,,,,microbiology,QIAamp,QiaAmp,product,life_sciences,0.95,methods,"…ion (Nacalai Tesque, Kyoto, Japan). RNA was extracted from swab samples using a QiaAmp Viral RNA kit (Qiagen), according to the manufacturer’s instructions. To detect…",methods,QIAGEN; QIAamp; RNeasy,jats,true,core,An engineered ACE2 decoy broadly neutralizes Omicron subvariants and shows therapeutic effect in SARS-CoV-2-infected cynomolgus macaques
Revvity,RVTY,https://www.biorxiv.org/content/10.1101/2022.12.29.522275,https://doi.org/10.1101/2022.12.29.522275,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.522275.source.xml,10.1101/2022.12.29.522275,2023-01-02,,,,microbiology,BioLegend,BioLegend,company,subsidiary,0.88,methods,"…suspended for 30 minutes on ice in 1/250 anti-human IgG1-Fc-FITC (clone HP6017, BioLegend) and 1/1000 anti-hemagglutinin (HA) Alexa Fluor 647 (clone TANA2,1:4000 dilutio…",methods,BioLegend,jats,true,core,An engineered ACE2 decoy broadly neutralizes Omicron subvariants and shows therapeutic effect in SARS-CoV-2-infected cynomolgus macaques
Thermo Fisher Scientific,TMO,https://www.biorxiv.org/content/10.1101/2022.12.29.522275,https://doi.org/10.1101/2022.12.29.522275,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.29.522275.source.xml,10.1101/2022.12.29.522275,2023-01-02,,,,microbiology,Thermo Fisher,Thermo Fisher,company,brand,0.95,methods,"…on (with 19 amino acids deleted from the C terminus) were cloned into pcDNA4TO (Thermo Fisher Scientific, Waltham. MA, USA)) ( 1 ). psPAX2-IN/HiBiT, pLenti Firefly, pCMV14 3…",methods,Alexa Fluor; Attune; Expi293; Fisher Scientific; Gibco; Invitrogen; Krios; Life Technologies; Lipofectamine; NuPAGE; Nunc; QuantStudio; Thermo Fisher; Thermo Fisher Scientific; iBlot,jats,true,core,An engineered ACE2 decoy broadly neutralizes Omicron subvariants and shows therapeutic effect in SARS-CoV-2-infected cynomolgus macaques
Bio-Techne,TECH,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,Quantikine,Quantikine,product,life_sciences,0.88,methods,"…ore) to remove cells and particles, and analyzed via ELISA. ELISA (Human HB-EGF Quantikine ELISA Kit, R&D Systems) was performed according to the manufacturer’s protocols…",figure_captions; methods,Quantikine; R&D Systems,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
Danaher,DHR,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,Abcam,Abcam,company,subsidiary,0.92,methods,"…uman p-AKT Ser473 (1:1000, Cell signaling), NF-κB/p65 (E379) C terminal (1:200, Abcam) and a mouse monoclonal anti human NF-κB/p65 (F-6) N terminal (1:100; SantaCruz…",methods,Abcam; Leica SP8,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
Illumina,ILMN,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,MethylationEPIC,MethylationEPIC,product,life_sciences,0.85,figure_captions,"…parental. Columns correspond to gene expression (GEP, RNA-seq) and methylation (MethylationEPIC BeadChip, Illumina) profiles of the top-10 up-regulated and top-10 down-regulat…",figure_captions,BeadChip; Illumina; MethylationEPIC,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
QIAGEN,QGEN,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,QIAGEN,Qiagen,company,parent,0.96,methods,"…mics, control, hsa-let-7c-5p, hsa-miR-29c-3p and hsa-miR-30b-3p were purchased (Qiagen). Karpas1718 cells (1 million per sample) were transfected with siRNA pools (20…",methods,QIAGEN,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
Revvity,RVTY,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,Dharmacon,Dharmacon,company,brand,0.85,methods,"…l siRNA pool, human ERBB4 siRNA pool and human ERBB2 siRNA pool were purchased (Dharmacon GE Healthcare, now Horizon Discovery Ltd.). miRNA mimics, control, hsa-let-7c-5…",methods,Dharmacon; Horizon Discovery,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
Thermo Fisher Scientific,TMO,https://www.biorxiv.org/content/10.1101/2023.01.01.522017,https://doi.org/10.1101/2023.01.01.522017,https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2023.01.01.522017.source.xml,10.1101/2023.01.01.522017,2023-01-02,,,,cancer biology,Invitrogen,Invitrogen,company,brand,0.96,methods,"…labelled with Alexa 488 and donkey anti-mouse labelled with Alexa 555 (1:1000, Invitrogen) 1h at room temperature in the dark. Slides were counterstained after 3 washes…",methods,Invitrogen,jats,true,core,ERBB4-mediated signaling is a mediator of resistance to BTK and PI3K inhibitors in B cell lymphoid neoplasms
