title,authors,author_corresponding,author_corresponding_institution,doi,date,version,type,license,category,jatsxml,abstract,funder,published,server,_source,_server,_query_hash,_query_label
A Xenopus neuromast bioassay for chemical ototoxicity,"Knight, V. B.; Luna, A. R.; Serrano, E.",Elba  Serrano,New Mexico State University,10.1101/2021.12.30.474606,2022-01-01,1,new results,cc_by,neuroscience,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474606.source.xml,"BackgroundOtotoxic chemicals can impair the senses of hearing and balance in mammals through irreversible damage to the mechanosensory bundles of inner ear hair cells. Fish and amphibians are useful models for investigating ototoxicity because their inner ear hair cells, like those of mammals, are susceptible to damage by ototoxins. Moreover, amphibian mechanosensation is augmented by a lateral line organ on the body surface that comprises external mechanosensory hair cells. The lateral line hair cells are arranged in clusters (neuromasts) and are structurally and functionally similar to inner ear hair cells, but are more accessible for experimental manipulation. Herein, we implemented neuromasts of the amphibian (Xenopus) lateral line as an organ system for evaluating the effects of ototoxic chemicals, such as antibiotics, on mechanosensory hair cell bundles.

MethodsWe examined the ultrastructure of larval Xenopus laevis neuromasts with scanning electron microscopy (SEM) after larvae were continuously exposed to ototoxic aminoglycoside antibiotics at sub-lethal concentrations (gentamicin; streptomycin; neomycin) for 72 hours.

ResultsSEM images demonstrated that 72 hours of exposure to antibiotic concentrations greater than 25 {micro}M reduced the hair cell bundle number in lateral line neuromasts.

ConclusionTherapeutic drug studies will benefit from the incorporation of bioassay strategies that evaluate ototoxicity across multiple species including genera of amphibian origin such as Xenopus. Our outcomes support the use of the Xenopus lateral line for identification of potential ototoxic chemicals and suggest that Xenopus neuromast hair cell bundles can withstand antibiotic exposure. The Xenopus bioassay presented here can be incorporated into drug discovery methodology as a high-resolution phenotypic screen for ototoxic effects.

Summary statementDamage to sensory cells of the inner ear by chemical agents such as antibiotics contributes to the growing global prevalence of disorders of hearing and balance. Our results demonstrate that the Xenopus lateral line, in conjunction with SEM, affords an accessible organ system for otoxicity screens during the drug discovery pipeline.",NA,NA,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Roles for Mitochondrial Complex I subunits in regulating synaptic transmission and growth,"Mallik, B.; Frank, C. A.",C. Andrew  Frank,University of Iowa,10.1101/2021.12.30.474605,2022-01-01,1,new results,cc_by_nc_nd,neuroscience,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474605.source.xml,"To identify conserved components of synapse function that are also associated with human diseases, we conducted a genetic screen. We used the Drosophila melanogaster neuromuscular junction (NMJ) as a model. We employed RNA interference (RNAi) on selected targets and assayed synapse function and plasticity by electrophysiology. We focused our screen on genetic factors known to be conserved from human neurological or muscle functions (300 Drosophila lines screened). From our screen, knockdown of a Mitochondrial Complex I (MCI) subunit gene (ND-20L) lowered levels of NMJ neurotransmission. Due to the severity of the phenotype, we studied MCI function further. Knockdown of core MCI subunits concurrently in neurons and muscle led to impaired neurotransmission. We localized this neurotransmission function to the muscle. Pharmacology targeting MCI phenocopied the impaired neurotransmission phenotype. Finally, MCI subunit knockdowns or pharmacological inhibition led to profound cytological defects, including reduced NMJ growth and altered NMJ morphology. Mitochondria are essential for cellular bioenergetics and produce ATP through oxidative phosphorylation. Five multi-protein complexes achieve this task, and MCI is the largest. Impaired Mitochondrial Complex I subunits in humans are associated with disorders such as Parkinsons disease, Leigh syndrome, and cardiomyopathy. Together, our data present an analysis of Complex I in the context of synapse function and plasticity. We speculate that in the context of human MCI dysfunction, similar neuronal and synaptic defects could contribute to pathogenesis.",NA,10.3389/fnins.2022.846425,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
In silico Elucidation of Dihydroquinine Mechanism of Action against Toxoplasma gondii,"Ayariga, J. A.; Huffman, A. M.; Napier, A.; Robertson, B.; Abugri, D.",Daniel  Abugri,Alabama State University,10.1101/2021.12.30.474617,2022-01-01,1,new results,cc_by,cell biology,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474617.source.xml,"Dihydroquinine (DHQ), is a quinine-based compound with anti-malarial properties. However, little is known about its mechanism of action against T. gondii inhibition, which shares similar biology with Plasmodium spp. In order to explore DHQ activity as an inhibitor of T. gondii using in vitro assays, we first used an in silico approach to decipher its mechanisms of action based on previous knowledge about its disruption of nucleic acid and protein synthesis. An in silico study was performed on T. gondii parasite replication, transcriptional and translational machinery to decipher the binding potentials of DHQ to some top selected enzymes. We report for the first time, using an in silico analysis that showed that DHQ binds strongly to DNA gyrase, Calcium Dependent Protein Kinase 1 (CDPK 1), and prolyl tRNA synthetase and thus could affect DNA replication, transcriptional and translational activities in T. gondii. Also, we found DHQ to effectively bind to mitochondria detoxifying enzymes (i.e., superoxide dismutase (SOD), peroxidoxin, and Catalase (CAT)). In conclusion, DHQ could be a lead compound for the treatment of toxoplasmosis when successfully evaluated using in vitro and in vivo models to confirm its effectiveness and safety.",NA,NA,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
The gut microbiota affects the social network of honeybees,"Liberti, J.; Kay, T.; Quinn, A.; Kesner, L.; Frank, E. T.; Cabirol, A.; Richardson, T. O.; Engel, P.; Keller, L.",Joanito  Liberti,University of Lausanne,10.1101/2021.12.31.474534,2022-01-01,1,new results,cc_no,animal behavior and cognition,https://www.biorxiv.org/content/early/2022/01/01/2021.12.31.474534.source.xml,"The gut microbiota influences animal neurophysiology and behavior but has not previously been documented to affect emergent group-level behaviors. Here we combine gut microbiota manipulation with automated behavioral tracking of honeybee sub-colonies to show that the microbiota increases the rate and specialization of social interactions. Microbiota colonization was associated with higher abundances of one third of metabolites detected in the brain, including several amino acids, and a subset of these metabolites were significant predictors of social interactions. Colonization also affected brain transcriptional processes related to amino acid metabolism and epigenetic modification in a brain region involved in sensory perception. These results demonstrate that the gut microbiota modulates the emergent colony social network of honeybees, likely via changes in chromatin accessibility and amino acid biosynthesis.",NA,10.1038/s41559-022-01840-w,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Gut Microbial Trimethylamine is Elevated in Alcohol-Associated Hepatitis and Contributes to Ethanol-Induced Liver Injury in Mice,"Helsley, R. N.; Miyata, T.; Kadam, A.; Venkateshwari, V.; Sangwan, N.; Huang, E. C.; Banerjee, R.; Brown, A. L.; Fung, K. K.; Massey, W.; Neumann, C.; Danny, O.; Osborn, L. J.; Schugar, R. C.; McMullen, M. R.; Bellar, A.; Poulsen, K. L.; Kim, A.; Pathak, V.; Mrdjen, M.; Anderson, J. T.; Willard, B.; McClain, C. J.; Mitchell, M.; McCullough, A. J.; Radaeva, S.; Barton, B.; Szabo, G.; Dasarathy, S.; Garcia-Garcia, J. C.; Rotroff, D. M.; Allende, D. S.; Wang, Z.; Hazen, S. L.; Nagy, L. E.; Brown, J. M.",Jonathan Mark  Brown,Cleveland Clinic Lerner College of Medicine,10.1101/2021.12.31.474633,2022-01-01,1,new results,cc_by,biochemistry,https://www.biorxiv.org/content/early/2022/01/01/2021.12.31.474633.source.xml,"BACKGROUNDThere is mounting evidence that microbes resident in the human intestine contribute to diverse alcohol-associated liver diseases (ALD) including the most deadly form known as alcohol-associated hepatitis (AH). However, mechanisms by which gut microbes synergize with excessive alcohol intake to promote liver injury are poorly understood. Furthermore, whether drugs that selectively target gut microbial metabolism can improve ALD has never been tested.

METHODSWe used liquid chromatography tandem mass spectrometry to quantify the levels of microbe and host choline co-metabolites in healthy controls and AH patients, finding elevated levels of the microbial metabolite trimethylamine (TMA) in AH. In subsequent studies, we treated mice with non-lethal bacterial choline TMA lyase (CutC/D) inhibitors to blunt gut microbe-dependent production of TMA in the context of chronic ethanol administration. Indices of liver injury were quantified by complementary RNA sequencing, biochemical, and histological approaches. In addition, we examined the impact of ethanol consumption and TMA lyase inhibition on gut microbiome structure via 16S rRNA sequencing.

RESULTSWe show the gut microbial choline metabolite trimethylamine (TMA) is elevated in AH patients and correlates with reduced hepatic expression of the TMA oxygenase flavin-containing monooxygenase 3 (FMO3). Provocatively, we find that small molecule inhibition of gut microbial CutC/D activity protects mice from ethanol-induced liver injury. CutC/D inhibitor-driven improvement in ethanol-induced liver injury is associated with distinct reorganization of the gut microbiome and host liver transcriptome.

CONCLUSIONSThe microbial metabolite TMA is elevated in patients with AH, and inhibition of TMA production from gut microbes can protect mice from ethanol-induced liver injury.",NA,10.7554/eLife.76554,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
DNA origami as a nanomedicine for targeted rheumatoid arthritis therapy through reactive oxygen species and nitric oxide scavenging,"Ma, Y.; Lu, Z.; Shi, Y.; Li, Z.",Zhe  Li,Nanjing University,10.1101/2021.12.30.474611,2022-01-01,1,new results,cc_no,bioengineering,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474611.source.xml,"High levels of reactive oxygen species (ROS) and nitric oxide (NO) generated by M1 macrophages induce inflammation in the development of rheumatoid arthritis (RA). The eliminating of ROS and NO therefore represents an alternative strategy for RA treatment. Because DNA molecules possess ROS- and endogenous NO-scavenging capability, herein, we develop a nanomedicine based on triangular DNA origami nanostructures for targeted RA treatment. We showed that folic acid-modified triangular DNA origami nanostructures (FA-tDONs) could reduce ROS and NO simultaneously inside proinflammatory M1 macrophages, leading to their polarization into anti-inflammatory M2 subtype. Further in vivo studies confirmed that FA-tDONs could actively target inflamed joints in collagen-induced arthritis (CIA) mice, attenuate inflammatory cytokines and alleviate disease progression. This work demonstrated that DNA origami itself could act as a potential nanomedicine for targeted RA treatment.",NA,10.1021/acsnano.2c03991,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Mechanical gating of the auditory transduction channel TMC1 involves the fourth and sixth transmembrane helices,"Akyuz, N.; Karavitaki, K. D.; Pan, B.; Tamvakologos, P. I.; Brock, K. P.; Li, Y.; Marks, D. S.; Corey, D. P.",Nurunisa  Akyuz,Harvard Medical School,10.1101/2021.12.30.474567,2022-01-01,1,new results,cc_by_nc_nd,biophysics,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474567.source.xml,"The transmembrane channel-like (TMC) 1 and 2 proteins play a central role in auditory transduction, forming ion channels that convert sound into electrical signals. However, the molecular mechanism of their gating remains unknown. Here, using predicted structural models as a guide, we probed the effects of twelve mutations on the mechanical gating of the transduction currents in native hair cells of Tmc1/2-null mice expressing virally introduced TMC1 variants. Whole-cell electrophysiological recordings revealed that mutations within the pore-lining transmembrane (TM) helices 4 and 6 modified gating, reducing the force sensitivity or shifting the open probability of the channels, or both. For some of the mutants, these changes were accompanied by a change in single-channel conductance. Our observations are in line with a model wherein conformational changes in the TM4 and TM6 helices are involved in the mechanical gating of the transduction channel.",NA,10.1126/sciadv.abo1126,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Loss of p53 tumor suppression function drives invasion and genomic instability in models of murine pancreatic cancer,"Tonelli, C.; Deschenes, A.; Yao, M. A.; Park, Y.; Tuveson, D. A.",David A. Tuveson,CSHL,10.1101/2021.12.31.472823,2022-01-01,1,new results,cc_by_nc_nd,cancer biology,https://www.biorxiv.org/content/early/2022/01/01/2021.12.31.472823.source.xml,"Pancreatic ductal adenocarcinoma (PDA) is a deadly disease with few treatment options. There is an urgent need to better understand the molecular mechanisms that drive disease progression, with the ultimate aim of identifying early detection markers and clinically actionable targets. To investigate the transcriptional and morphological changes associated with pancreatic cancer progression, we analyzed the KrasLSLG12D/+; Trp53LSLR172H/+; Pdx1-Cre (KPC) mouse model. We have identified an intermediate cellular event during pancreatic carcinogenesis in the KPC mouse model of PDA that is represented by a subpopulation of tumor cells that express KrasG12D, p53R172H and one allele of wild-type Trp53. In vivo, these cells represent a histological spectrum of pancreatic intraepithelial neoplasia (PanIN) and acinar-to-ductal metaplasia (ADM) and rarely proliferate. Following loss of wild-type p53, these precursor lesions undergo malignant de-differentiation and acquire invasive features. We have established matched organoid cultures of pre-invasive and invasive cells from murine PDA. Expression profiling of the organoids led to the identification of markers of the pre-invasive cancer cells in vivo and mechanisms of disease aggressiveness.",NA,NA,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Global ecomorphological restructuring of dominant marine reptiles prior to the K/Pg mass extinction,"MacLaren, J. A.; Bennion, R. F.; Bardet, N.; Fischer, V.",Jamie A MacLaren,"Evolution & Diversity Dynamics Lab, UR Geology, University of Liege",10.1101/2021.12.30.474572,2022-01-01,1,new results,cc_no,paleontology,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474572.source.xml,"Mosasaurid squamates were the dominant amniote predators in marine ecosystems during most of the Late Cretaceous. Evidence from multiple sites worldwide of a global mosasaurid community restructuring across the Campanian-Maastrichtian transition may have wide-ranging implications for the evolution of diversity of these top oceanic predators. In this study, we use a suite of biomechanical traits and functionally descriptive ratios to investigate how the morphofunctional disparity of mosasaurids evolved through time and space prior to the Cretaceous-Palaeogene (K/Pg) mass extinction. Our results suggest that the worldwide taxonomic turnover in mosasaurid community composition from Campanian to Maastrichtian is reflected by a notable increase in morphofunctional disparity on a global scale, but especially driven the North American record. Ecomorphospace occupation becomes more polarised during the late Maastrichtian, as the morphofunctional disparity of mosasaurids plateaus in the Southern Hemisphere and decreases in the Northern Hemisphere. We show that these changes are not associated with strong modifications in mosasaurid size, but rather with the functional capacities of their skulls, and that mosasaurid morphofunctional disparity was in decline in several provincial communities before the K-Pg mass extinction. Our study highlights region-specific patterns of disparity evolution, and the importance of assessing vertebrate extinctions both globally and regionally. Ecomorphological differentiation in mosasaurid communities, coupled with declines in other formerly abundant marine reptile groups, indicates widespread restructuring of higher trophic levels in marine food webs was well underway when the K-Pg mass extinction took place.",NA,NA,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
Superficial white matter microstructure affects processing speed in cerebral small vessel disease,"Wang, S.; Zhang, F.; Huang, P.; Hong, H.; Jiaerken, Y.; Yu, X.; zhang, R.; Zeng, Q.; Zhang, Y.; Kikinis, R.; Rathi, Y.; Makris, N.; Lou, M.; Pasternak, O.; Zhang, M.; O'Donnell, L. J.",Lauren J. O'Donnell,Harvard Medical School,10.1101/2021.12.30.474604,2022-01-01,1,new results,cc_no,neuroscience,https://www.biorxiv.org/content/early/2022/01/01/2021.12.30.474604.source.xml,"White matter hyperintensities (WMH) are a typical feature of cerebral small vessel disease (CSVD). This condition contributes to about 50% of dementias worldwide, a massive health burden in aging. Microstructural alterations in the deep white matter (DWM) have been widely examined in CSVD. However, little is known about abnormalities in the superficial white matter (SWM) and their relevance for processing speed, the main cognitive deficit in CSVD. In this paper, 141 patients with CSVD were studied. Processing speed was assessed by the completion time of the Trail Making Test Part A. White matter abnormalities were assessed by WMH burden (lesion volume on T2-FLAIR) and diffusion MRI, including DTI and free-water (FW) imaging microstructure measures. The results of our study indicate that the superficial white matter may play a particularly important role in cognitive decline in CSVD. SWM imaging measures resulted in a large contribution to processing speed, despite a relatively small WMH burden in the SWM. SWM FW had the strongest association with processing speed among all imaging markers and, unlike the other diffusion MRI measures, significantly increased between two patient subgroups with the lowest WMH burdens (possibly representing early stages of disease). When comparing two patient subgroups with the highest WMH burdens, the involvement of WMH in the SWM was accompanied by significant differences in processing speed and white matter microstructure. Given significant effects of WMH volume and regional FW on processing speed, we performed a mediation analysis. SWM FW was found to fully mediate the association between WMH volume and processing speed, while no mediation effect of DWM FW was observed. Overall, our findings identify SWM abnormalities in CSVD and suggest that the SWM has an important contribution to processing speed. Results indicate that FW in the SWM is a sensitive marker of microstructural changes associated with cognition in CSVD. This study extends the current understanding of CSVD-related dysfunction and suggests that the SWM, as an understudied region, can be a potential target for monitoring pathophysiological processes in future research.",NA,10.1002/hbm.26004,bioRxiv,biorxiv,biorxiv,b704ee8eeada2c36,biorxiv_2022-01-01_2022-01-30
