random_rank,attempt_number,doi,version,preprint_date,category,title,fulltext_ok,fulltext_source,fulltext_url,paper_url,doi_url,result_rows_for_paper,failure_reason,processed_at_utc
1,1,10.1101/2022.08.08.503214,1,2022-08-08,neuroscience,Auditory corticofugal neurons transmit non-auditory signals to support discriminative learning,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/08/2022.08.08.503214.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.08.503214,https://doi.org/10.1101/2022.08.08.503214,0,,2026-07-18T01:30:25.160538+00:00
2,2,10.1101/2020.10.04.325340,4,2022-03-25,evolutionary biology,Gene-rich X chromosomes implicate intragenomic conflict in the evolution of bizarre genetic systems,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/25/2020.10.04.325340.source.xml,https://www.biorxiv.org/content/10.1101/2020.10.04.325340,https://doi.org/10.1101/2020.10.04.325340,2,,2026-07-18T01:30:42.949562+00:00
3,3,10.1101/2022.07.04.498768,1,2022-07-05,genetics,Complex Traits and Candidate Genes: Estimation of Genetic Variance Components Across Modes of Inheritance,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/05/2022.07.04.498768.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.04.498768,https://doi.org/10.1101/2022.07.04.498768,0,,2026-07-18T01:30:54.571458+00:00
4,4,10.1101/2022.12.05.519104,1,2022-12-05,microbiology,Processing of the hepatitis E virus polyprotein can be mediated by a cellular protease,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/05/2022.12.05.519104.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.05.519104,https://doi.org/10.1101/2022.12.05.519104,3,,2026-07-18T01:31:07.537152+00:00
5,5,10.1101/2022.12.27.522048,1,2022-12-28,microbiology,Cataloguing and profiling of the gut virome in Chinese populations uncover extensive viral signatures across common diseases,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/28/2022.12.27.522048.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.27.522048,https://doi.org/10.1101/2022.12.27.522048,0,,2026-07-18T01:31:23.556474+00:00
6,6,10.1101/2021.12.09.471993,2,2022-10-19,bioinformatics,"Radiation Exposure Determination in a Secure, Cloud-based Online Environment",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/19/2021.12.09.471993.source.xml,https://www.biorxiv.org/content/10.1101/2021.12.09.471993,https://doi.org/10.1101/2021.12.09.471993,0,,2026-07-18T01:31:36.806550+00:00
7,7,10.1101/2022.10.27.514108,1,2022-10-28,evolutionary biology,Tracking the horizontal transfer of plasmids in Shigella sonnei and Shigella flexneri using phylogenetics,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/10/28/2022.10.27.514108.source.xml,https://www.biorxiv.org/content/10.1101/2022.10.27.514108,https://doi.org/10.1101/2022.10.27.514108,1,,2026-07-18T01:31:49.935842+00:00
8,8,10.1101/2022.07.20.500827,1,2022-07-21,molecular biology,Gabapentin Disrupts Binding of Perlecan to the α2δ1 Voltage Sensitive Calcium Channel Subunit and Impairs Skeletal Mechanosensation,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/07/21/2022.07.20.500827.source.xml,https://www.biorxiv.org/content/10.1101/2022.07.20.500827,https://doi.org/10.1101/2022.07.20.500827,5,,2026-07-18T01:32:06.226436+00:00
9,9,10.1101/2022.04.05.487192,1,2022-04-05,microbiology,Tracing carbon metabolism with stable isotope metabolomics reveals the legacy of diverse carbon sources in soil,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/04/05/2022.04.05.487192.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.05.487192,https://doi.org/10.1101/2022.04.05.487192,2,,2026-07-18T01:32:26.183952+00:00
10,10,10.1101/2022.03.07.483298,1,2022-03-07,developmental biology,Proteomic Profiling of Hypoplastic Lungs Suggests an Underlying Inflammatory Response in the Pathogenesis of Abnormal Lung Development in Congenital Diaphragmatic Hernia,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/07/2022.03.07.483298.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.07.483298,https://doi.org/10.1101/2022.03.07.483298,4,,2026-07-18T01:32:40.108105+00:00
11,11,10.1101/2022.08.25.505320,1,2022-08-26,evolutionary biology,Extreme sensitivity of fitness to environmental conditions; lessons from #1BigBatch,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/08/26/2022.08.25.505320.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.25.505320,https://doi.org/10.1101/2022.08.25.505320,2,,2026-07-18T01:32:56.854557+00:00
12,12,10.1101/2022.02.15.480592,2,2022-02-18,bioinformatics,"SARS-CoV-2 variants show a gradual declining pathogenicity and pro-inflammatory cytokine spur, an increasing antigenic and anti-inflammatory cytokine induction, and rising structural protein instability",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/18/2022.02.15.480592.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.15.480592,https://doi.org/10.1101/2022.02.15.480592,0,,2026-07-18T01:33:09.807466+00:00
13,13,10.1101/2022.04.30.489997,2,2022-06-14,immunology,"BA.2.12.1, BA.4 and BA.5 escape antibodies elicited by Omicron infection",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/06/14/2022.04.30.489997.source.xml,https://www.biorxiv.org/content/10.1101/2022.04.30.489997,https://doi.org/10.1101/2022.04.30.489997,0,,2026-07-18T01:33:26.909821+00:00
14,14,10.1101/2022.08.31.505995,1,2022-09-01,bioinformatics,Genetic control of RNA editing in Neurodegenerative disease,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/09/01/2022.08.31.505995.source.xml,https://www.biorxiv.org/content/10.1101/2022.08.31.505995,https://doi.org/10.1101/2022.08.31.505995,0,,2026-07-18T01:33:41.162948+00:00
15,15,10.1101/2022.02.14.480379,1,2022-02-14,immunology,The chemokine receptor CXCR3 promotes CD8+ T cell-dependent lung pathology during influenza pathogenesis,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/14/2022.02.14.480379.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.14.480379,https://doi.org/10.1101/2022.02.14.480379,5,,2026-07-18T01:33:58.162114+00:00
16,16,10.1101/2022.02.14.480435,1,2022-02-16,bioinformatics,SciViewer- An interactive browser for visualizing single cell datasets,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/02/16/2022.02.14.480435.source.xml,https://www.biorxiv.org/content/10.1101/2022.02.14.480435,https://doi.org/10.1101/2022.02.14.480435,0,,2026-07-18T01:34:15.788515+00:00
17,17,10.1101/2022.12.13.519803,1,2022-12-15,evolutionary biology,Maternal control of spontaneous dormancy termination in Daphnia pulex,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/15/2022.12.13.519803.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.13.519803,https://doi.org/10.1101/2022.12.13.519803,0,,2026-07-18T01:34:29.359887+00:00
18,18,10.1101/2022.05.10.491331,1,2022-05-11,bioinformatics,CAMML with the Integration of Marker Proteins (ChIMP),true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/05/11/2022.05.10.491331.source.xml,https://www.biorxiv.org/content/10.1101/2022.05.10.491331,https://doi.org/10.1101/2022.05.10.491331,0,,2026-07-18T01:34:41.438693+00:00
19,19,10.1101/2022.12.06.519416,1,2022-12-07,ecology,Identifying the most probable mammal reservoir hosts for Monkeypox virus based on ecological niche comparisons,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/12/07/2022.12.06.519416.source.xml,https://www.biorxiv.org/content/10.1101/2022.12.06.519416,https://doi.org/10.1101/2022.12.06.519416,0,,2026-07-18T01:34:58.359067+00:00
20,20,10.1101/2022.01.19.474897,1,2022-01-21,cancer biology,"Immunotherapy of glioblastoma explants induces interferon-γ responses and immune cell rearrangements in tumor center, but not periphery",true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/01/21/2022.01.19.474897.source.xml,https://www.biorxiv.org/content/10.1101/2022.01.19.474897,https://doi.org/10.1101/2022.01.19.474897,4,,2026-07-18T01:35:15.477083+00:00
21,21,10.1101/2022.03.03.482921,1,2022-03-04,ecology,A new method to estimate the ecological niche through n-dimensional hypervolumes that combines convex hulls and elliptical envelopes,true,jats,https://www.biorxiv.org/content/biorxiv/early/2022/03/04/2022.03.03.482921.source.xml,https://www.biorxiv.org/content/10.1101/2022.03.03.482921,https://doi.org/10.1101/2022.03.03.482921,0,,2026-07-18T01:35:29.177767+00:00
