source,record_id,pmid,doi,pmcid,title,abstract,journal,publication_year,publication_date,authors,affiliations,publication_types,keywords,mesh_terms,source_url,query_year,ticker,parent_company,matched_terms_all,matched_alias_terms,matched_product_terms,matched_text_all,match_fields_all,match_kinds_all,mention_types_all,match_contexts_all,matched_term_count,matched_alias_term_count,matched_product_term_count,match_occurrence_count,max_confidence_score,needs_manual_review,review_reasons_all,best_match_term,best_match_field,best_match_kind
pubmed,36935384,36935384,10.1094/PDIS-10-22-2322-A,,"High-Quality Genome Assembly and Annotation Resource of Elsinoë annonae , Causing Fruit Scab on Camellia oleifera .","Elsinoë annonae is a fungal pathogen that causes fruit scab disease in the edible-oil (tea oil) plant ( Camellia oleifera Abel). The absence of genome resources for this fungus hampers functional genetic studies of the pathogenesis mechanism of E. annonae . This study reports the genome assembly of E. annonae strain SM-YC-2 collected from tea oil tree fruit with scab disease in Fujian Province, China. Combining 16.44 Gb of PacBio Sequel II long reads and 5.13 Gb of Illumina NovaSeq reads, we generated a 25.93-Mb (99.19% of expected genome size) high-quality genome assembly with 52.66% GC content, 5.05% repeats, and over 98% Benchmarking Universal Single-Copy Orthologs completeness for E. annonae strain SM-YC-2. These high-quality genome assembly resources will facilitate functional genomic characterization studies, enhance insights into the pathogenicity mechanism of E. annonae , and support the development of molecular-based control strategies.",Plant disease,2023,2023-10-01,Jiandong Bao; Jiyu Su; Yinping Wang; Xinyu Liang; Hao Yu; Xueming Zhu; Lin Li; Hongli Hu,"State Key Laboratory for Managing Biotic and Chemical Treats to the Quality and Safety of Agro-Products, Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou 310021, China.; College of Plant Protection, Fujian Agriculture and Forestry University, Fuzhou, 350002, China.; College of Life Sciences, Fujian Agriculture and Forestry University, Fuzhou, 350002, China.",Journal Article,Camellia oleifera Abel; Elsinoë annonae; fruit scab; fungi; genome assembly,Fruit; Ascomycota; Genomics; Tea; Camellia,https://pubmed.ncbi.nlm.nih.gov/36935384/,2023,PACB,Pacific Biosciences,PacBio; Sequel,PacBio,Sequel,pacbio; sequel,abstract,company_alias; product,generic_mention,of e annonae this study reports the genome assembly of e annonae strain sm yc 2 collected from tea oil tree fruit with scab disease in fujian province china combining 16 44 gb of pacbio sequel ii long reads and 5 13 gb of illumina novaseq reads we generated a 25 93 mb 99 19 of expected genome size high quality genome assembly with 52 66 gc content 5 05 repeats an || nnonae this study reports the genome assembly of e annonae strain sm yc 2 collected from tea oil tree fruit with scab disease in fujian province china combining 16 44 gb of pacbio sequel ii long reads and 5 13 gb of illumina novaseq reads we generated a 25 93 mb 99 19 of expected genome size high quality genome assembly with 52 66 gc content 5 05 repeats and over,2,1,1,2,0.92,True,context_required_term; single_token_term; single_token_term,PacBio,abstract,company_alias
pubmed,36935863,36935863,10.46471/gigabyte.78,PMC10022433,Genome assembly of the deep-sea coral Lophelia pertusa .,"Like their shallow-water counterparts, cold-water corals create reefs that support highly diverse communities, and these structures are subject to numerous anthropogenic threats. Here, we present the genome assembly of Lophelia pertusa from the southeastern coast of the USA, the first one for a deep-sea scleractinian coral species. We generated PacBio continuous long reads data for an initial assembly and proximity ligation data for scaffolding. The assembly was annotated using evidence from transcripts, proteins, and ab initio gene model predictions. This assembly is comparable to high-quality reference genomes from shallow-water scleractinian corals. The assembly comprises 2,858 scaffolds (N50 1.6 Mbp) and has a size of 556.9 Mbp. Approximately 57% of the genome comprises repetitive elements and 34% of coding DNA. We predicted 41,089 genes, including 91.1% of complete metazoan orthologs. This assembly will facilitate investigations into the ecology of this species and the evolution of deep-sea corals.","GigaByte (Hong Kong, China)",2023,2023-01-01,Santiago Herrera; Erik E Cordes,"Department of Biological Sciences, Lehigh University, Bethlehem, PA, USA.; Biology Department, Temple University, Philadelphia, PA, USA.",Journal Article,,,https://pubmed.ncbi.nlm.nih.gov/36935863/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,methods_or_use,ogenic threats here we present the genome assembly of lophelia pertusa from the southeastern coast of the usa the first one for a deep sea scleractinian coral species we generated pacbio continuous long reads data for an initial assembly and proximity ligation data for scaffolding the assembly was annotated using evidence from transcripts proteins and ab initio ge,1,1,0,1,0.96,True,single_token_term,PacBio,abstract,company_alias
pubmed,36938565,36938565,10.1093/hr/uhad005,PMC10022486,Gap-free genome assembly and comparative analysis reveal the evolution and anthocyanin accumulation mechanism of Rhodomyrtus tomentosa .,"Rhodomyrtus tomentosa is an important fleshy-fruited tree and a well-known medicinal plant of the Myrtaceae family that is widely cultivated in tropical and subtropical areas of the world. However, studies on the evolution and genomic breeding of R. tomentosa were hindered by the lack of a reference genome. Here, we presented a chromosome-level gap-free T2T genome assembly of R. tomentosa using PacBio and ONT long read sequencing. We assembled the genome with size of 470.35 Mb and contig N50 of ~43.80 Mb with 11 pseudochromosomes. A total of 33 382 genes and 239.31 Mb of repetitive sequences were annotated in this genome. Phylogenetic analysis elucidated the independent evolution of R. tomentosa starting from 14.37MYA and shared a recent WGD event with other Myrtaceae species. We identified four major compounds of anthocyanins and their synthetic pathways in R. tomentosa . Comparative genomic and gene expression analysis suggested the coloring and high anthocyanin accumulation in R. tomentosa tends to be determined by the activation of anthocyanin synthesis pathway. The positive selection and up-regulation of MYB transcription factors were the implicit factors in this process. The copy number increase of downstream anthocyanin transport-related OMT and GST gene were also detected in R. tomentosa. Expression analysis and pathway identification enriched the importance of starch degradation, response to stimuli, effect of hormones, and cell wall metabolism during the fleshy fruit development in Myrtaceae. Our genome assembly provided a foundation for investigating the origins and differentiation of Myrtaceae species and accelerated the genetic improvement of R. tomentosa.",Horticulture research,2023,2023-03-01,Fangping Li; Shiqiang Xu; Zitong Xiao; Jingming Wang; Yu Mei; Haifei Hu; Jingyu Li; Jieying Liu; Zhuangwei Hou; Junliang Zhao; Shaohai Yang; Jihua Wang,"Guangdong Provincial Key Laboratory of Crops Genetics and Improvement, Crop Research Institute, Guangdong Academy of Agriculture Sciences, Guangzhou 510640, China.; Guangdong Provincial Key Laboratory of Plant Molecular Breeding, State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, South China Agricultural University, Guangzhou 510642, China.; Rice Research Institute & Guangdong Key Laboratory of New Technology in Rice Breeding & Guangdong Rice Engineering Laboratory, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",Journal Article,,,https://pubmed.ncbi.nlm.nih.gov/36938565/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,methods_or_use,volution and genomic breeding of r tomentosa were hindered by the lack of a reference genome here we presented a chromosome level gap free t2t genome assembly of r tomentosa using pacbio and ont long read sequencing we assembled the genome with size of 470 35 mb and contig n50 of 43 80 mb with 11 pseudochromosomes a total of 33 382 genes and 239 31 mb of repetitiv,1,1,0,1,0.96,True,single_token_term,PacBio,abstract,company_alias
pubmed,36939021,36939021,10.1111/1755-0998.13787,PMC10354735,Plastid Genome Assembly Using Long-read data.,"Although plastid genome (plastome) structure is highly conserved across most seed plants, investigations during the past two decades have revealed several disparately related lineages that experienced substantial rearrangements. Most plastomes contain a large inverted repeat and two single-copy regions, and a few dispersed repeats; however, the plastomes of some taxa harbour long repeat sequences (>300 bp). These long repeats make it challenging to assemble complete plastomes using short-read data, leading to misassemblies and consensus sequences with spurious rearrangements. Single-molecule, long-read sequencing has the potential to overcome these challenges, yet there is no consensus on the most effective method for accurately assembling plastomes using long-read data. We generated a pipeline, plastid Genome Assembly Using Long-read data (ptGAUL), to address the problem of plastome assembly using long-read data from Oxford Nanopore Technologies (ONT) or Pacific Biosciences platforms. We demonstrated the efficacy of the ptGAUL pipeline using 16 published long-read data sets. We showed that ptGAUL quickly produces accurate and unbiased assemblies using only ~50× coverage of plastome data. Additionally, we deployed ptGAUL to assemble four new Juncus (Juncaceae) plastomes using ONT long reads. Our results revealed many long repeats and rearrangements in Juncus plastomes compared with basal lineages of Poales. The ptGAUL pipeline is available on GitHub: https://github.com/Bean061/ptgaul.",Molecular ecology resources,2023,2023-08-01,Wenbin Zhou; Carolina E Armijos; Chaehee Lee; Ruisen Lu; Jeremy Wang; Tracey A Ruhlman; Robert K Jansen; Alan M Jones; Corbin D Jones,"Department of Biology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA.; Laboratorio de Biotecnología Vegetal, Universidad San Francisco de Quito USFQ, Quito, Ecuador.; Department of Plant Sciences, University of California Davis, Davis, California, USA.; Institute of Botany, Jiangsu Province and Chinese Academy of Sciences, Nanjing, China.; Department of Genetics, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA.; Department of Integrative Biology, University of Texas at Austin, Austin, Texas, USA.; Department of Pharmacology, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, USA.",Journal Article,Juncus; Juncaceae; Poales; chloroplast; long-read assembly; rearrangement events,"Genome, Plastid; Repetitive Sequences, Nucleic Acid; Gene Rearrangement; Plastids; High-Throughput Nucleotide Sequencing; Sequence Analysis, DNA",https://pubmed.ncbi.nlm.nih.gov/36939021/,2023,PACB,Pacific Biosciences,Pacific Biosciences,Pacific Biosciences,,pacific biosciences,abstract,company_alias,methods_or_use,generated a pipeline plastid genome assembly using long read data ptgaul to address the problem of plastome assembly using long read data from oxford nanopore technologies ont or pacific biosciences platforms we demonstrated the efficacy of the ptgaul pipeline using 16 published long read data sets we showed that ptgaul quickly produces accurate and unbiased assemblies using,1,1,0,1,0.96,False,,Pacific Biosciences,abstract,company_alias
pubmed,36939347,36939347,10.1128/mra.00131-23,PMC10112243,"Complete Genome Sequence of Staphylococcus epidermidis CCSM0287, Isolated from Healthy Facial Skin.",Staphylococcus epidermidis strain CCSM0287 was isolated from healthy facial skin. The complete genome of CCSM0287 was sequenced using a combination of Pacific Biosciences (PacBio) RS II single-molecule real-time (SMRT) and Illumina sequencing. The assembled 2.5-Mbp genome consisted of one chromosome and three plasmids.,Microbiology resource announcements,2023,2023-04-18,Laiji Ma; Suzhen Yang; Hong Jiang; Chunying Yuan; Huidan Chen; Yan Li; Li Shao,"School of Perfume and Aroma Technology, Shanghai Institute of Technology, Shanghai, People's Republic of China.; R&D Innovation Center, Shandong Freda Biotech Co., Ltd., Jinan, Shandong, People's Republic of China.",Journal Article,,,https://pubmed.ncbi.nlm.nih.gov/36939347/,2023,PACB,Pacific Biosciences,PacBio; Pacific Biosciences,PacBio; Pacific Biosciences,,pacbio; pacific biosciences,abstract,company_alias,methods_or_use,staphylococcus epidermidis strain ccsm0287 was isolated from healthy facial skin the complete genome of ccsm0287 was sequenced using a combination of pacific biosciences pacbio rs ii single molecule real time smrt and illumina sequencing the assembled 2 5 mbp genome consisted of one chromosome and three plasmids,2,2,0,2,0.96,True,single_token_term,Pacific Biosciences,abstract,company_alias
pubmed,36945652,36945652,10.1101/2023.02.03.527066,PMC10028747,A randomized multiplex CRISPRi-Seq approach for the identification of critical combinations of genes.,"Identifying virulence-critical genes from pathogens is often limited by functional redundancy. To rapidly interrogate the contributions of combinations of genes to a biological outcome, we have developed a multiplex, randomized CRISPR interference sequencing (MuRCiS) approach. At its center is a new method for the randomized self-assembly of CRISPR arrays from synthetic oligonucleotide pairs. When paired with PacBio long-read sequencing, MuRCiS allowed for near-comprehensive interrogation of all pairwise combinations of a group of 44 Legionella pneumophila virulence genes encoding highly conserved transmembrane proteins for their role in pathogenesis. Both amoeba and human macrophages were challenged with L. pneumophila bearing the pooled CRISPR array libraries, leading to the identification of several new virulence-critical combinations of genes. lpg2888 and lpg3000 were particularly fascinating for their apparent redundant functions during L. pneumophila human macrophage infection, while lpg3000 alone was essential for L. pneumophila virulence in the amoeban host Acanthamoeba castellanii . Thus, MuRCiS provides a method for rapid genetic examination of even large groups of redundant genes, setting the stage for application of this technology to a variety of biological contexts and organisms.",bioRxiv : the preprint server for biology,2023,2023-11-08,Nicole A Ellis; Kevin S Myers; Jessica Tung; Anne Davidson Ward; Kathryn Johnston; Katherine E Bonnington; Timothy J Donohue; Matthias P Machner,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, National Institutes of Health, Bethesda, Maryland, USA.; Great Lakes Bioenergy Research Center, University of Wisconsin-Madison, Madison, Wisconsin, USA.; Wisconsin Energy Institute, University of Wisconsin-Madison, Madison, Wisconsin, USA.; Department of Bacteriology, University of Wisconsin-Madison, Madison, Wisconsin, USA.",Preprint; Journal Article,,,https://pubmed.ncbi.nlm.nih.gov/36945652/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,generic_mention,rispr interference sequencing murcis approach at its center is a new method for the randomized self assembly of crispr arrays from synthetic oligonucleotide pairs when paired with pacbio long read sequencing murcis allowed for near comprehensive interrogation of all pairwise combinations of a group of 44 legionella pneumophila virulence genes encoding highly conse,1,1,0,1,0.92,True,single_token_term,PacBio,abstract,company_alias
pubmed,36949061,36949061,10.1038/s41597-023-02067-5,PMC10033727,Genome assembly of the ectoparasitoid wasp Theocolax elegans.,"The ectoparasitoid wasp Theocolax elegans is a cosmopolitan and generalist pteromalid parasitoid of several major storage insect pests, and can effectively suppress a host population in warehouses. However, little molecular information about this wasp is currently available. In this study, we assembled the genome of T. elegans using PacBio long-read sequencing, Illumina sequencing, and Hi-C methods. The genome assembly is 662.73 Mb in length with contig and scaffold N50 values of 1.15 Mb and 88.8 Mb, respectively. The genome contains 56.4% repeat sequences and 23,212 protein-coding genes were annotated. Phylogenomic analyses revealed that T. elegans diverged from the lineage leading to subfamily Pteromalinae (Nasonia vitripennis and Pteromalus puparum) approximately 110.5 million years ago. We identified 130 significantly expanded gene families, 34 contracted families, 248 fast-evolving genes, and 365 positively selected genes in T. elegans. Additionally, 260 olfactory receptors and 285 venom proteins were identified. This genome assembly provides valuable genetic bases for future investigations on evolution, molecular biology and application of T. elegans.",Scientific data,2023,2023-03-22,Shan Xiao; Xinhai Ye; Shuping Wang; Yi Yang; Qi Fang; Fang Wang; Gongyin Ye,"State Key Laboratory of Rice Biology, Ministry of Agricultural and Rural Affairs Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests & Key Laboratory of Biology of Crop Pathogens and Insects of Zhejiang Province, Institute of Insect Sciences, Zhejiang University, Hangzhou, 310058, China.; Shanghai Institute for Advanced Study, Zhejiang University, Shanghai, 201203, China.; College of Computer Science and Technology, Zhejiang University, Hangzhou, 310058, China.; Technical Center of Shanghai Customs for Inspection and Quarantine of Animals,Plants and Foods, Shanghai Customs, Shanghai, 200135, China.; State Key Laboratory of Rice Biology, Ministry of Agricultural and Rural Affairs Key Laboratory of Molecular Biology of Crop Pathogens and Insect Pests & Key Laboratory of Biology of Crop Pathogens and Insects of Zhejiang Province, Institute of Insect Sciences, Zhejiang University, Hangzhou, 310058, China. chu@zju.edu.cn.",Dataset; Journal Article,,"Animals; Chromosomes; Phylogeny; Repetitive Sequences, Nucleic Acid; Wasps; Genome, Insect",https://pubmed.ncbi.nlm.nih.gov/36949061/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,methods_or_use,ively suppress a host population in warehouses however little molecular information about this wasp is currently available in this study we assembled the genome of t elegans using pacbio long read sequencing illumina sequencing and hi c methods the genome assembly is 662 73 mb in length with contig and scaffold n50 values of 1 15 mb and 88 8 mb respectively the ge,1,1,0,1,0.96,True,single_token_term,PacBio,abstract,company_alias
pubmed,36959935,36959935,10.3389/fpls.2023.1124536,PMC10027759,Application of third-generation sequencing to herbal genomics.,"There is a long history of traditional medicine use. However, little genetic information is available for the plants used in traditional medicine, which limits the exploitation of these natural resources. Third-generation sequencing (TGS) techniques have made it possible to gather invaluable genetic information and develop herbal genomics. In this review, we introduce two main TGS techniques, PacBio SMRT technology and Oxford Nanopore technology, and compare the two techniques against Illumina, the predominant next-generation sequencing technique. In addition, we summarize the nuclear and organelle genome assemblies of commonly used medicinal plants, choose several examples from genomics, transcriptomics, and molecular identification studies to dissect the specific processes and summarize the advantages and disadvantages of the two TGS techniques when applied to medicinal organisms. Finally, we describe how we expect that TGS techniques will be widely utilized to assemble telomere-to-telomere (T2T) genomes and in epigenomics research involving medicinal plants.",Frontiers in plant science,2023,2023-01-01,Longlong Gao; Wenjie Xu; Tianyi Xin; Jingyuan Song,"Key Lab of Chinese Medicine Resources Conservation, State Administration of Traditional Chinese Medicine of the People's Republic of China, Engineering Research Center of Chinese Medicine Resource of Ministry of Education, Institute of Medicinal Plant Development, Peking Union Medical College and Chinese Academy of Medical Sciences, Beijing, China.",Journal Article; Review,PacBio; herbal genomics; medicinal plant; molecular identification; nanopore; third-generation sequencing,,https://pubmed.ncbi.nlm.nih.gov/36959935/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,generic_mention,generation sequencing tgs techniques have made it possible to gather invaluable genetic information and develop herbal genomics in this review we introduce two main tgs techniques pacbio smrt technology and oxford nanopore technology and compare the two techniques against illumina the predominant next generation sequencing technique in addition we summarize the nu,1,1,0,1,0.92,True,single_token_term,PacBio,abstract,company_alias
pubmed,36961337,36961337,10.1093/bioinformatics/btad150,PMC10199315,nf-core/isoseq: simple gene and isoform annotation with PacBio Iso-Seq long-read sequencing.,"MOTIVATION: Iso-Seq RNA long-read sequencing enables the identification of full-length transcripts and isoforms, removing the need for complex analysis such as transcriptome assembly. However, the raw sequencing data need to be processed in a series of steps before annotation is complete. Here, we present nf-core/isoseq, a pipeline for automatic read processing and genome annotation. Following nf-core guidelines, the pipeline has few dependencies and can be run on any of platforms. AVAILABILITY AND IMPLEMENTATION: The pipeline is freely available online on the nf-core website (https://nf-co.re/isoseq) and on GitHub (https://github.com/nf-core/isoseq) under MIT License (DOI: 10.5281/zenodo.7116979).","Bioinformatics (Oxford, England)",2023,2023-05-04,Sébastien Guizard; Katarzyna Miedzinska; Jacqueline Smith; Jonathan Smith; Richard I Kuo; Megan Davey; Alan Archibald; Mick Watson,"The Roslin Institute and R(D)SVS, University of Edinburgh, Edinburgh EH25 9RG, United Kingdom.; Wobble Genomics, University of Edinburgh, Edinburgh EH25 9RG, United Kingdom.","Journal Article; Research Support, Non-U.S. Gov't",,"Alternative Splicing; Protein Isoforms; Sequence Analysis, RNA; Genome; Transcriptome; Molecular Sequence Annotation",https://pubmed.ncbi.nlm.nih.gov/36961337/,2023,PACB,Pacific Biosciences,Iso-Seq; PacBio,PacBio,Iso-Seq,iso seq; pacbio,abstract; title,company_alias; product,generic_mention,nf core isoseq simple gene and isoform annotation with pacbio iso seq long read sequencing || motivation iso seq rna long read sequencing enables the identification of full length transcripts and isoforms removing the need for complex analysis such as transcriptome assembly however the raw s,2,1,1,3,0.96,True,single_token_term,PacBio,title,company_alias
pubmed,36961841,36961841,10.1371/journal.pntd.0011208,PMC10075465,"A genome sequence for Biomphalaria pfeifferi, the major vector snail for the human-infecting parasite Schistosoma mansoni.","BACKGROUND: Biomphalaria pfeifferi is the world's most widely distributed and commonly implicated vector snail species for the causative agent of human intestinal schistosomiasis, Schistosoma mansoni. In efforts to control S. mansoni transmission, chemotherapy alone has proven insufficient. New approaches to snail control offer a way forward, and possible genetic manipulations of snail vectors will require new tools. Towards this end, we here offer a diverse set of genomic resources for the important African schistosome vector, B. pfeifferi. METHODOLOGY/PRINCIPAL FINDINGS: Based largely on PacBio High-Fidelity long reads, we report a genome assembly size of 772 Mb for B. pfeifferi (Kenya), smaller in size than known genomes of other planorbid schistosome vectors. In a total of 505 scaffolds (N50 = 3.2Mb), 430 were assigned to 18 large linkage groups inferred to represent the 18 known chromosomes, based on whole genome comparisons with Biomphalaria glabrata. The annotated B. pfeifferi genome reveals a divergence time of 3.01 million years with B. glabrata, a South American species believed to be similar to the progenitors of B. pfeifferi which undertook a trans-Atlantic colonization < five million years ago. CONCLUSIONS/SIGNIFICANCE: The genome for this preferentially self-crossing species is less heterozygous than related species known to be preferential out-crossers; its smaller genome relative to congeners may similarly reflect its preference for selfing. Expansions of gene families with immune relevance are noted, including the FReD gene family which is far more similar in its composition to B. glabrata than to Bulinus truncatus, a vector for Schistosoma haematobium. Provision of this annotated genome will help better understand the dependencies of trematodes on snails, enable broader comparative insights regarding factors contributing to susceptibility/ resistance of snails to schistosome infections, and provide an invaluable resource with respect to identifying and manipulating snail genes as potential targets for more specific snail control programs.",PLoS neglected tropical diseases,2023,2023-03-01,Lijing Bu; Lijun Lu; Martina R Laidemitt; Si-Ming Zhang; Martin Mutuku; Gerald Mkoji; Michelle Steinauer; Eric S Loker,"Department of Biology, Center for Evolutionary and Theoretical Immunology, Parasite Division Museum of Southwestern Biology, University of New Mexico, Albuquerque, New Mexico, United States of America.; Center for Biotechnology Research and Development, Kenya Medical Research Institute, Nairobi, Kenya.; College of Osteopathic Medicine of the Pacific-Northwest, Western University of Health Sciences, Lebanon, Oregon, United States of America.","Journal Article; Research Support, N.I.H., Extramural",,Animals; Humans; Schistosoma mansoni; Biomphalaria; Parasites; Schistosomiasis mansoni; Schistosoma haematobium,https://pubmed.ncbi.nlm.nih.gov/36961841/,2023,PACB,Pacific Biosciences,PacBio,PacBio,,pacbio,abstract,company_alias,generic_mention,ew tools towards this end we here offer a diverse set of genomic resources for the important african schistosome vector b pfeifferi methodology principal findings based largely on pacbio high fidelity long reads we report a genome assembly size of 772 mb for b pfeifferi kenya smaller in size than known genomes of other planorbid schistosome vectors in a total of 5,1,1,0,1,0.92,True,single_token_term,PacBio,abstract,company_alias
