company,ticker,url,doi_url,fulltext_url,doi,biorxiv_posted_date,published_date,published_journal,published_doi,category,matched_term,matched_text_verbatim,match_kind,match_detail,term_confidence,hit_section,snippet,sections_hit,matched_terms_all,fulltext_source,fulltext_ok,match_scope,title
Thermo Fisher Scientific,TMO,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,Gibco,Gibco,company,brand,0.95,methods,"…cell lines were cultured in IMDM medium supplemented with 20% FBS and GlutaMAX (Gibco, 35050061). HEK293T cells were maintained in IMDM supplemented with 10% FBS and…",methods,Alexa Fluor; Gibco; Invitrogen; eBioscience,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
Sartorius,SRT,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,Incucyte,Incucyte,product,life_sciences,0.93,methods,"…cells co-transduced with the CAR and IL-18 and/or IL-15 was evaluated using an Incucyte S3 imaging system. One day before starting the assay, 1×10 4 GFP-expressing NB…",figure_captions; methods,Incucyte; Sartorius; iQue,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
Revvity,RVTY,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,BioLegend,Biolegend,company,subsidiary,0.88,methods,"…-18Rα (H44), PeCy7 CD25 (M-A251), PE CD86 (IT2.2), BV421 Mouse IgG2a (MOPC-173, Biolegend), BV480 mouse CD45 (30-F11), BV421 CD62L (DREG-56), BV650 TIM3 (7D3), BUV395 CD…",methods,BioLegend; IVIS; Revvity,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
Illumina,ILMN,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,NovaSeq,NovaSeq,product,life_sciences,0.96,methods,…Research). Library generation and sequencing were performed by Novogene using a NovaSeq X Plus (Illumina) with 150bp paired-end read length and around 50 million read-…,methods,Illumina; NovaSeq,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
10x Genomics,TXG,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,Chromium,Chromium,product,life_sciences,0.85,methods,"…tion per donor were barcoded, and sequencing libraries were generated using the Chromium GEM-X Single Cell 5’ v3 Gene Expression kit (10x Genomics) following the manufa…",methods,10x Genomics; Cell Ranger; Chromium; GEM-X,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
Agilent Technologies,A,https://www.biorxiv.org/content/10.1101/2025.04.18.649551,https://doi.org/10.1101/2025.04.18.649551,https://www.biorxiv.org/content/biorxiv/early/2025/04/24/2025.04.18.649551.source.xml,10.1101/2025.04.18.649551,2025-04-24,,,,immunology,6495,6495,product,analytical_instruments,0.8,methods,…. Mass spectrometry data were collected using multiple reaction monitoring on a 6495 Triple Quadrupole mass spectrometer coupled to a high-performance liquid chroma…,methods,6495; Agilent; Agilent Technologies,jats,true,core,IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity against neuroblastoma
Illumina,ILMN,https://www.biorxiv.org/content/10.1101/2025.04.18.645578,https://doi.org/10.1101/2025.04.18.645578,https://www.biorxiv.org/content/biorxiv/early/2025/04/22/2025.04.18.645578.source.xml,10.1101/2025.04.18.645578,2025-04-22,,,,evolutionary biology,Illumina,Illumina,company,parent,0.96,body,"…opposite mating-type chromosomes for each strain, while we only had short-read Illumina sequences for the genomes of heterokaryons for several strains, that are diffic…",body; methods,Illumina,jats,true,core,Stepwise recombination suppression around the mating-type locus associated with a diploid-like life cycle in Schizothecium fungi
Oxford Nanopore Technologies,ONT,https://www.biorxiv.org/content/10.1101/2025.04.18.645578,https://doi.org/10.1101/2025.04.18.645578,https://www.biorxiv.org/content/biorxiv/early/2025/04/22/2025.04.18.645578.source.xml,10.1101/2025.04.18.645578,2025-04-22,,,,evolutionary biology,Oxford Nanopore,Oxford Nanopore,company,parent,0.93,methods,"…ch. Long-read sequencing, assembly and analyses We sequenced eight genomes with Oxford Nanopore Technologies (ONT) to obtain long reads so as to get high-quality genome assemb…",methods,MinION; Oxford Nanopore; Oxford Nanopore Technologies,jats,true,core,Stepwise recombination suppression around the mating-type locus associated with a diploid-like life cycle in Schizothecium fungi
Bio-Rad Laboratories,BIO,https://www.biorxiv.org/content/10.1101/2025.04.18.645578,https://doi.org/10.1101/2025.04.18.645578,https://www.biorxiv.org/content/biorxiv/early/2025/04/22/2025.04.18.645578.source.xml,10.1101/2025.04.18.645578,2025-04-22,,,,evolutionary biology,Chelex,Chelex,product,life_sciences,0.85,methods,…( Vittorelli et al. 2023 ). To extract DNA of F2 ascospores a protocol based on Chelex as in ( Guyot et al. 2025 ). We used PCR to test if recombination occurred in t…,methods,Chelex,jats,true,core,Stepwise recombination suppression around the mating-type locus associated with a diploid-like life cycle in Schizothecium fungi
QIAGEN,QGEN,https://www.biorxiv.org/content/10.1101/2025.10.01.679739,https://doi.org/10.1101/2025.10.01.679739,https://www.biorxiv.org/content/biorxiv/early/2025/10/01/2025.10.01.679739.source.xml,10.1101/2025.10.01.679739,2025-10-01,,,,microbiology,DNeasy,DNeasy,product,life_sciences,0.95,methods,"…e-weighed tubes. DNA preparation and 16S processing DNA was extracted using the DNeasy PowerSoil Kit (Qiagen, Germany) according to the manufacturer’s instructions. Q…",methods,DNeasy; QIAGEN,jats,true,core,Pathogen-Phage Geomapping to Overcome Resistance
